OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-01-16T08:52:15.244032,15.49326051,.00077838,51.6334,331.0355,24.7534,335.3826,0,U,25544,999,54822,.18173329E-3,.9695E-4,0
CSS (TIANHE),2021-035A,2026-01-16T14:34:27.969024,15.60562549,.00112662,41.4653,164.7931,297.5042,62.4652,0,U,48274,999,26947,.18057507E-3,.15077E-3,0
ISS (NAUKA),2021-066A,2026-01-16T08:52:15.244032,15.49326051,.00077838,51.6334,331.0355,24.7534,335.3826,0,U,49044,999,23044,.18173329E-3,.9695E-4,0
FREGAT DEB,2011-037PF,2026-01-15T05:48:15.363072,12.35792458,.09017215,51.5970,100.2711,297.7796,53.4474,0,U,49271,999,20607,.65421055E-1,.34049E-3,0
CSS (WENTIAN),2022-085A,2026-01-16T14:34:27.969024,15.60562549,.00112662,41.4653,164.7931,297.5042,62.4652,0,U,53239,999,17384,.18057507E-3,.15077E-3,0
CSS (MENGTIAN),2022-143A,2026-01-16T14:34:27.969024,15.60562549,.00112662,41.4653,164.7931,297.5042,62.4652,0,U,54216,999,15864,.18057507E-3,.15077E-3,0
SHENZHOU-20 (SZ-20),2025-082A,2026-01-16T14:34:27.969024,15.60562549,.00112662,41.4653,164.7931,297.5042,62.4652,0,U,63632,999,25530,.18057507E-3,.15077E-3,0
PROGRESS-MS 31,2025-146A,2026-01-16T08:52:15.244032,15.49326051,.00077838,51.6334,331.0355,24.7534,335.3826,0,U,64751,999,675,.18173329E-3,.9695E-4,0
TIANZHOU-9,2025-149A,2026-01-16T14:34:27.969024,15.60562549,.00112662,41.4653,164.7931,297.5042,62.4652,0,U,64786,999,25530,.18057507E-3,.15077E-3,0
DRAGON CRS-33,2025-186A,2026-01-16T08:52:15.244032,15.49326051,.00077838,51.6334,331.0355,24.7534,335.3826,0,U,65304,999,11,.18173329E-3,.9695E-4,0
PROGRESS-MS 32,2025-204A,2026-01-16T08:52:15.244032,15.49326051,.00077838,51.6334,331.0355,24.7534,335.3826,0,U,65586,999,27,.18173329E-3,.9695E-4,0
CYGNUS NG-23,2025-208A,2026-01-16T08:52:15.244032,15.49326051,.00077838,51.6334,331.0355,24.7534,335.3826,0,U,65616,999,22,.18173329E-3,.9695E-4,0
DRAGONFLY,1998-067XH,2026-01-16T05:11:34.019808,15.90167081,.00079477,51.6201,317.1747,121.1972,238.9814,0,U,65729,999,1861,.11760474E-2,.362083E-2,.59770704E-4
1998-067XK,1998-067XK,2026-01-16T05:47:03.855840,15.74078898,.0004771,51.6285,321.1647,90.1861,269.9685,0,U,65731,999,1856,.79470214E-3,.117081E-2,0
RSP-03,1998-067XL,2026-01-16T02:04:41.327616,15.80551154,.0005848,51.6250,320.1030,100.3486,259.8175,0,U,65732,999,1857,.94425159E-3,.187469E-2,0
GHS-01,1998-067XM,2026-01-16T12:42:37.551456,16.06065606,.00078095,51.6204,313.2448,146.0579,214.0934,0,U,65733,999,1870,.14284182E-2,.1071987E-1,.64680943E-3
YOTSUBA-KULOVER,1998-067XN,2026-01-16T13:51:07.048224,15.65078214,.00041546,51.6291,324.1741,112.5120,247.6316,0,U,65941,999,1530,.76976203E-3,.77571E-3,0
BOTAN,1998-067XP,2026-01-16T02:07:51.475008,15.72046667,.00048597,51.6266,324.6496,111.6038,248.5479,0,U,65942,999,1525,.93501099E-3,.126501E-2,0
E-KAGAKU-1,1998-067XQ,2026-01-16T13:51:00.693504,15.65060511,.00027284,51.6301,324.1805,115.3741,244.7537,0,U,65943,999,1530,.75384291E-3,.7587E-3,0
HRC MONOBLOCK CAMERA,1998-067XR,2026-01-16T08:16:52.558464,15.56741442,.00011021,51.6308,328.6251,9.3617,350.7395,0,U,66052,999,1422,.43890182E-3,.31624E-3,0
HTV-X1,2025-241A,2026-01-16T08:52:15.244032,15.49326051,.00077838,51.6334,331.0355,24.7534,335.3826,0,U,66174,999,51,.18173329E-3,.9695E-4,0
